time,X_value,Y_value,Z_value,d_time
0,0,0,0,0
0.151,-0.00153,0.00641,-0.00916,0.151
0.456,0.00336,0.00794,-0.00275,0.305
0.609,-0.00458,0.00214,-0.01588,0.153
0.761,-0.00183,0.00916,-0.01436,0.152
1.065,-0.00367,0.04612,-0.00947,0.304
1.218,-0.05956,0.42608,-0.00702,0.153
1.424,-0.02993,0.21014,-0.00855,0.206
1.675,0.00794,0.19975,-0.00855,0.251
1.827,0.02046,0.52382,0.00489,0.152
1.981,0.01313,0.22419,-0.00611,0.154
2.285,0.00916,0.42486,-0.00428,0.304
2.437,0.0058,0.64324,0.00244,0.152
2.59,0.02169,0.98349,-0.00672,0.153
2.895,0.00611,0.19426,-0.01313,0.305
3.047,0.00214,-0.01222,-0.01313,0.152
3.201,0.00092,-0.0055,-0.00519,0.154
3.353,0.00061,-0.00275,-0.00336,0.152
3.658,0.00061,-0.06506,-0.01008,0.305
3.81,0.00336,-0.0733,-0.011,0.152
3.962,-0.00672,-0.44379,-0.01436,0.152
4.264,-0.00764,-0.56536,-0.01588,0.302
4.416,-0.00122,-0.54611,-0.02138,0.152
4.621,-0.00764,-0.58887,-0.02138,0.205
4.869,-0.02627,-0.54489,-0.01649,0.248
5.021,-0.02841,-0.48564,-0.01863,0.152
5.204,0.01527,-0.0898,-0.01436,0.183
5.479,-0.00153,0.00641,-0.00764,0.275
5.631,-0.01283,0.1741,-0.00275,0.152
5.788,-0.00122,0.00489,-0.00947,0.157
6.088,0.00336,0.00977,-0.00977,0.3
6.241,-0.00183,0.011,-0.00916,0.153
6.424,-0.00672,0.08491,-0.01069,0.183
