time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.131,0.00153,0.01191,-0.01008
0.436,-0.00092,0.00458,-0.00764
0.588,0.00031,0.00305,-0.01038
0.741,-0.00367,-0.02718,-0.01161
1.046,-0.09774,-0.58979,-0.00825
1.198,0.01558,-0.33689,-0.00641
1.352,0.02199,-0.73762,0.02199
1.656,0.00275,-0.77580,-0.02627
1.808,0.00367,-1.10536,-0.02932
1.960,-0.00458,-1.11605,-0.02443
2.266,-0.01313,-0.36896,-0.02749
2.483,-0.00122,0.19181,-0.01069
2.610,0.00031,-0.01130,-0.00519
2.875,0.00122,0.54092,-0.00305
3.028,0.00794,1.35948,0.00183
3.208,0.00367,1.78892,0.01863
3.333,-0.02505,1.21287,0.02260
3.638,0.03421,0.37232,-0.01344
3.873,0.00122,0.02046,-0.01069
3.943,0.00061,0.01252,-0.01008
4.379,-0.00153,0.00641,-0.01069
4.421,0.00825,0.01161,-0.01405
4.553,0.01161,-0.11942,-0.01161
