time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.189,-0.24517,0.09534,10.11992
0.371,-0.23155,0.17706,10.09268
0.791,-0.24517,0.10896,10.14716
1.168,-0.27241,0.16344,9.95647
1.419,-0.27241,0.12258,9.99734
1.568,-0.28603,0.12258,10.09268
1.768,-0.25879,0.13620,10.11992
2.020,-0.31327,0.20431,10.16078
2.424,-0.28603,1.28031,10.14716
2.571,-0.29965,2.12477,9.94285
2.773,-0.35413,3.21440,9.56148
2.972,-0.40861,4.26317,9.05753
3.171,-0.54481,5.12125,8.47186
3.386,-0.50395,5.82951,8.04963
3.573,-0.47671,6.18364,7.84532
3.773,-0.46309,6.21088,7.81808
3.978,-0.47671,6.15640,7.89980
4.174,-0.42223,5.78865,8.11773
4.373,-0.38137,4.95781,8.64892
4.641,-0.36775,3.96352,9.38442
4.774,-0.24517,3.02372,9.69769
5.123,-0.23155,1.67530,9.99734
5.422,-0.21793,0.74912,10.02458
5.574,-0.24517,0.32689,10.05182
5.869,-0.19068,0.16344,10.21526
5.975,-0.25879,0.19068,10.09268
6.174,-0.24517,0.19068,10.09268
6.375,-0.21793,0.12258,9.99734
6.594,-0.25879,0.16344,9.99734
