time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.142,0.00153,0.00305,-0.01100
0.447,-0.00275,0.00611,-0.00825
0.599,-0.00092,0.00611,-0.01161
0.751,-0.00214,0.01038,-0.00641
1.056,0.00428,0.00794,-0.01100
1.209,0.00611,0.00764,-0.01497
1.361,0.00519,0.00031,-0.01252
1.666,0.00367,0.00519,-0.01100
1.818,0.00825,0.00947,-0.00550
1.971,0.21472,0.00672,0.01100
2.276,0.37996,0.01130,0.00397
2.434,0.55161,-0.01222,0.00397
2.600,0.64630,0.01100,-0.03115
2.882,0.59223,0.01161,-0.02627
3.035,0.47831,-0.02199,-0.05162
3.200,0.40867,0.01924,0.00794
3.492,-0.01863,0.02627,-0.02260
3.644,-0.02627,-0.02077,0.01985
3.874,-0.04276,0.02046,-0.01344
3.949,-0.26970,0.02963,0.05712
4.254,-0.58857,0.01038,0.01405
4.407,-0.73304,0.02382,0.00886
4.558,-0.52534,-0.00886,0.05712
4.859,-0.49786,-0.01161,0.00580
5.010,-0.39401,-0.00764,0.00183
5.161,-0.23427,0.01008,-0.01038
5.464,0.00214,0.01558,-0.00947
5.617,0.00489,-0.02841,-0.01619
5.772,0.00092,0.00702,-0.01069
6.075,-0.00275,0.00428,-0.01252
6.227,0.00305,0.00611,-0.01008
6.403,0.00672,-0.00611,-0.00886
