time,X_value,Y_value,Z_value,d_time
0,0,0,0,
0.117,-1.25307,3.48681,9.19374,0.117
0.444,-0.89894,3.39147,9.31632,0.327
0.603,-0.35413,3.80008,9.32994,0.159
0.765,-0.65378,3.15992,9.95647,0.162
0.93,-0.92618,3.44595,8.60806,0.165
1.28,-0.85808,3.03734,9.3027,0.35
1.42,-0.09534,2.17926,9.80665,0.14
1.582,-0.61292,2.28822,9.86113,0.162
1.744,-0.64016,2.2065,9.13925,0.162
2.067,-0.54481,3.44595,9.507,0.323
2.257,-0.5993,3.9499,9.22098,0.19
2.396,0.31327,4.38575,9.87475,0.139
2.554,-0.09534,4.44023,9.19374,0.158
2.876,0.09534,5.489,8.79874,0.322
3.038,-0.10896,5.89761,8.73064,0.162
3.229,-0.19068,6.02019,8.39013,0.191
3.376,0.31327,6.37432,7.58653,0.147
3.523,-0.0681,5.54348,6.8919,0.147
3.847,-0.04086,5.95209,7.87256,0.324
4.007,-0.21793,6.37432,7.49119,0.16
4.17,-0.6674,6.51053,6.63311,0.163
4.347,-0.44947,6.60587,7.73636,0.177
4.646,-0.20431,5.80227,7.79084,0.299
4.811,-0.24517,5.88399,8.4991,0.165
4.971,-0.46309,5.59796,8.06325,0.16
5.185,0.05448,5.89761,8.02238,0.214
5.455,0.02724,5.93847,7.50481,0.27
5.617,0.08172,6.0883,8.09049,0.162
5.779,0.02724,6.38794,7.8998,0.162
5.943,-0.40861,6.30622,7.6955,0.164
6.283,-0.21793,5.31194,8.53996,0.34
6.434,-0.02724,4.64454,8.83961,0.151
6.589,-0.05448,3.82732,8.96219,0.155
6.748,-0.02724,2.96924,9.35718,0.159
7.069,-0.1362,2.23374,9.77941,0.321
7.257,-0.40861,1.30755,9.56148,0.188
7.392,-0.50395,2.35632,9.64321,0.135
7.553,-0.43585,2.2065,10.28336,0.161
7.877,-0.47671,2.75131,9.34356,0.324
8.067,-0.54481,2.61511,9.67045,0.19
8.205,-0.23155,2.35632,9.90199,0.138
