time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.089,-0.00519,0.08644,-0.03543
0.357,0.10110,-0.38118,-0.11148
0.488,-0.00611,-0.03329,-0.00428
0.641,-0.02718,-0.00275,-0.01924
0.946,-0.01405,-0.26176,0.16005
1.137,0.09163,-0.07819,-0.14997
1.280,-0.09927,-0.04398,0.01161
1.556,-0.00764,0.02260,0.02230
1.714,0.12217,-0.08980,-0.05559
1.858,0.20892,0.26023,-0.05681
2.162,-0.12278,0.43463,-0.05192
2.314,-0.23488,-0.01374,0.07055
2.467,0.27917,-0.28222,0.08033
2.817,0.50060,-0.08308,0.14966
2.944,0.22694,-0.08155,-0.06597
3.088,0.15027,0.02963,-0.06720
3.382,-0.04093,0.23702,-0.09285
3.534,0.28650,-0.16646,0.17959
3.687,0.10507,-0.06994,-0.14966
3.839,0.19884,0.17135,-0.21228
4.144,0.44563,0.05467,-0.16157
4.297,-0.07605,0.14813,0.14722
4.572,-0.36835,0.10782,-0.05253
4.754,-0.06353,-0.00336,-0.03757
4.919,0.12950,0.01772,-0.06261
5.060,0.14600,-0.02077,0.15516
5.365,-0.22907,0.11668,-0.04368
5.517,-0.20189,-0.01374,-0.13714
5.669,0.04154,0.03024,-0.03543
5.996,-0.17287,0.01588,-0.08155
6.167,-1.13010,0.02718,-0.03848
6.283,-0.54459,-0.07514,-0.09102
6.435,-0.47098,0.00244,0.04337
6.737,-0.67287,-0.06475,-0.09988
6.889,-0.04704,0.06872,0.03146
7.039,-0.07086,0.08399,0.02688
7.343,0.09194,0.05864,-0.10629
7.528,-0.02352,0.00977,0.00305
7.663,0.09102,-0.13195,-0.02902
7.953,-0.01497,0.11973,-0.03879
8.105,0.16035,-0.45693,0.08980
