time,X_value,Y_value,Z_value,d_time
0,0,0,0,0
0.21,-0.29965,0.19068,10.14716,0.21
0.37,-0.28603,0.17706,10.13354,0.16
0.566,-0.29965,0.1362,10.09268,0.196
0.766,-0.32689,0.20431,10.0382,0.2
0.974,-0.28603,0.23155,9.99734,0.208
1.164,-0.36775,0.21793,10.16078,0.19
1.364,-0.62654,0.17706,10.07906,0.2
1.564,-1.03515,0.10896,10.09268,0.2
1.764,-1.51186,0.09534,9.99734,0.2
1.963,-2.19288,0.12258,9.82027,0.199
2.163,-2.76493,0.16344,9.84751,0.2
2.364,-3.67749,0.16344,9.49338,0.201
2.563,-4.71264,0.20431,9.05753,0.199
2.764,-5.99295,0.19068,8.03601,0.201
2.968,-6.76931,0.31327,7.40947,0.204
3.165,-7.10982,0.29965,7.15068,0.197
3.42,-7.19154,0.31327,7.12344,0.255
3.567,-7.19154,0.31327,7.15068,0.147
3.766,-7.19154,0.29965,7.1643,0.199
3.984,-7.15068,0.23155,7.0281,0.218
4.182,-6.67397,0.27241,7.42309,0.198
4.367,-6.03381,0.25879,8.02238,0.185
4.565,-5.14849,0.28603,8.52634,0.198
4.768,-4.12697,0.19068,9.19374,0.203
4.968,-3.11906,0.14982,9.60235,0.2
5.167,-2.05667,0.14982,9.90199,0.199
5.371,-1.08963,0.1362,9.99734,0.204
5.569,-0.49033,0.17706,10.09268,0.198
5.779,-0.27241,0.14982,10.07906,0.21
6.015,-0.29965,0.19068,10.02458,0.236
6.169,-0.28603,0.0681,10.16078,0.154
6.368,-0.25879,0.14982,10.13354,0.199
