time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.102,-0.06384,-0.16341,-0.07269
0.112,-0.13042,-0.15394,-0.07208
0.156,-0.17898,-0.13928,-0.05742
0.156,-0.03543,-0.14203,-0.06811
0.201,0.00855,-0.04856,-0.04948
0.295,-0.04979,-0.00825,-0.04459
0.295,0.00031,-0.02077,-0.03543
0.341,-0.00489,-0.01894,-0.03024
0.387,-0.09438,-0.02046,-0.02688
0.463,-0.01619,0.03024,-0.04765
0.478,-0.06353,0.04398,-0.05620
0.524,-0.10201,0.02688,-0.02352
0.570,-0.08766,0.04093,-0.05223
0.617,-0.10232,-0.02688,-0.10965
0.706,-0.09988,0.03146,-0.21716
0.709,0.21228,0.30116,-0.24648
0.756,0.27825,0.33567,-0.29413
0.808,0.34331,0.52473,-0.31185
0.849,0.37843,1.10383,-0.41081
0.895,0.30788,1.01343,-0.39431
0.941,0.02505,1.23364,-0.30757
0.987,-0.17135,1.52594,-0.12401
1.033,-0.02505,1.61116,-0.00641
1.079,-0.15272,1.10475,-0.19700
1.126,-0.11637,0.51465,-0.18845
1.172,0.00672,0.65027,-0.11942
1.218,-0.00611,0.59804,-0.02688
1.264,-0.04673,0.32620,-0.00031
1.310,-0.00611,0.20433,-0.01894
1.357,-0.01894,0.21350,-0.03635
1.403,-0.01985,0.36224,-0.05437
1.449,-0.03543,0.56505,-0.04246
1.495,-0.09896,0.54795,-0.06353
1.548,-0.11973,0.52718,-0.05681
1.588,-0.06811,0.28527,-0.04490
1.678,-0.00458,0.25992,-0.00183
1.680,-0.01436,0.26328,0.01405
1.726,-0.09102,0.27214,-0.01772
1.775,-0.02260,0.33109,0.02749
1.937,-0.00916,0.26114,0.02138
1.937,-0.03360,0.27794,-0.03696
1.937,-0.01985,0.24404,-0.00825
1.962,-0.00855,0.22144,0.00061
2.008,-0.01222,0.23640,-0.02107
2.055,-0.00428,0.17135,-0.02810
2.111,0.00580,0.12950,-0.00764
2.147,0.00916,0.05253,-0.01466
2.193,0.00397,-0.01100,-0.00977
2.239,0.00916,-0.12187,-0.01772
2.285,0.05223,-0.31276,-0.00397
2.332,0.14264,-0.68447,0.02413
2.439,0.19884,-1.22387,0.05192
2.439,0.09896,-1.78831,0.03482
2.488,0.07361,-2.49050,0.09682
2.516,0.29199,-2.91108,0.18234
2.563,0.94073,-3.40130,0.13867
2.609,0.82039,-2.24707,-0.06597
2.655,-0.46701,-0.60140,0.17562
2.702,-0.28405,0.04551,0.21533
2.748,-0.31154,-0.41233,0.05192
2.805,-0.21014,-0.40836,-0.00550
2.840,-0.10140,-0.35247,0.06322
2.889,-0.19639,-0.60109,0.04062
2.933,-0.29627,-0.46487,0.04917
2.979,-0.33078,-0.56902,0.08002
3.025,-0.03085,-0.17623,0.07025
3.075,-0.05223,0.06261,0.02413
3.117,0.11545,0.40714,0.05834
3.164,-0.66523,-0.35827,-0.05895
3.261,-0.78954,-0.55222,-0.13928
3.262,0.16982,0.13653,-0.07453
3.307,0.11301,0.16768,0.01038
3.353,-0.15485,-0.06872,-0.00977
3.399,0.04459,0.08277,0.02718
3.446,0.05620,0.05070,0.00336
3.492,-0.04184,0.02413,-0.02230
3.538,0.00702,0.05101,-0.02230
3.584,0.01741,0.08552,0.00825
3.632,0.06292,0.15669,0.10201
3.676,0.49724,0.11576,-0.20831
3.723,-0.53176,0.01710,0.18204
3.770,0.10965,0.02169,-0.03207
